iter	RMSE
0	0.4421296734
1	0.4356097574
2	0.4293631323
3	0.4231755486
4	0.4169639112
5	0.4108365502
6	0.4050447833
7	0.3994198479
8	0.3938725355
9	0.3883980192
10	0.3830778026
11	0.3780680122
12	0.3729795179
13	0.368110903
14	0.3633515644
15	0.3588081461
16	0.3542991891
17	0.3499139629
18	0.3456207942
19	0.3413769889
20	0.3370997896
21	0.3328830521
22	0.3287901244
23	0.3249756996
24	0.3211813039
25	0.3173826003
26	0.3138668057
27	0.3104937673
28	0.3071438166
29	0.3037501108
30	0.3003878971
31	0.2971990928
32	0.2940874559
33	0.2910287726
34	0.2881975196
35	0.2853461206
36	0.2824943919
37	0.2798071034
38	0.2772341147
39	0.2746482799
40	0.272146895
41	0.2697629458
42	0.2673469059
43	0.2651199755
44	0.2629068748
45	0.2606994456
46	0.2586061029
47	0.256518943
48	0.2544904343
49	0.2525394651
50	0.2506248803
51	0.2487756536
52	0.2468770703
53	0.2450669646
54	0.2433092653
55	0.2416721107
56	0.240099376
57	0.2385311198
58	0.2370903
59	0.2356091724
60	0.2341611716
61	0.2327674974
62	0.2313696081
63	0.2300166101
64	0.2286611667
65	0.2274479839
66	0.2263093898
67	0.2251588256
68	0.2238756494
69	0.2227758165
70	0.2216102981
71	0.2205253981
72	0.2194911563
73	0.2184519407
74	0.2174906195
75	0.216529774
76	0.215537698
77	0.2145996857
78	0.2137385295
79	0.2128503183
80	0.212042442
81	0.2112312146
82	0.2103875676
83	0.2095940179
84	0.208803145
85	0.2080770207
86	0.2073678753
87	0.2067209638
88	0.2059929134
89	0.2053567001
90	0.2047329699
91	0.2041433838
92	0.2035372653
93	0.2029167668
94	0.2022662917
95	0.2018031466
96	0.2012834322
97	0.2008104386
98	0.2003011493
99	0.1997696319
100	0.1993412713
101	0.1988628509
102	0.1984351504
103	0.1979241598
104	0.1975684454
105	0.1970782002
106	0.1966719021
107	0.1962014597
108	0.1958828188
109	0.1954981399
110	0.1951075865
111	0.1946658458
112	0.1943110548
113	0.1939852713
114	0.193692735
115	0.1933358751
116	0.1929884931
117	0.1926628461
118	0.1923669127
119	0.1920788487
120	0.1917935388
121	0.1915603189
122	0.1913089338
123	0.191019659
124	0.1907304076
125	0.1904120817
126	0.1901639998
127	0.1899327012
128	0.1896842167
129	0.1894463684
130	0.1892239162
131	0.1889873694
132	0.1887947747
133	0.1885588777
134	0.1883310328
135	0.1881468102
136	0.1879097471
137	0.1877009206
138	0.1874557761
139	0.1872626498
140	0.187088571
141	0.1868537079
142	0.1866564462
143	0.18649684
144	0.1863187134
145	0.1861053902
146	0.1859306084
147	0.1857957476
148	0.1856083024
149	0.1854742989
150	0.1853222025
151	0.1851801519
152	0.1850380281
153	0.1849124248
154	0.1847228387
155	0.1845983513
156	0.1844392359
157	0.1843215391
158	0.1841977283
159	0.1840157217
160	0.183897107
161	0.1837949142
162	0.1836321134
163	0.1834415717
164	0.1832746693
165	0.183181711
166	0.1830778446
167	0.1829406443
168	0.1828197199
169	0.1827093592
170	0.1825877082
171	0.1824527908
172	0.1822751767
173	0.1821831414
174	0.1820795997
175	0.1819851322
176	0.181848794
177	0.1817868446
178	0.181678878
179	0.1815842059
180	0.1814648961
181	0.1813600626
182	0.1812225461
183	0.181145252
184	0.1810595022
