iter	Passed	Remaining
0	21	107119
1	31	77821
2	40	67044
3	50	62945
4	58	58885
5	66	55686
6	73	52346
7	79	49475
8	86	47721
9	91	45628
10	97	44167
11	102	42705
12	109	42026
13	116	41393
14	121	40389
15	126	39393
16	132	38959
17	139	38481
18	145	38036
19	151	37661
20	157	37243
21	163	36905
22	168	36538
23	174	36237
24	181	36057
25	186	35720
26	192	35454
27	198	35289
28	205	35154
29	211	35010
30	217	34904
31	223	34635
32	228	34419
33	234	34235
34	240	34062
35	246	33932
36	251	33756
37	256	33508
38	261	33239
39	266	32992
40	270	32774
41	276	32594
42	280	32392
43	285	32136
44	289	31857
45	293	31639
46	298	31409
47	301	31138
48	306	30928
49	311	30798
50	315	30580
51	319	30388
52	323	30188
53	327	29998
54	331	29801
55	335	29636
56	339	29477
57	345	29424
58	349	29298
59	354	29211
60	360	29218
61	366	29183
62	371	29085
63	377	29098
64	382	29013
65	386	28865
66	391	28807
67	396	28734
68	400	28597
69	404	28502
70	409	28404
71	413	28325
72	418	28228
73	422	28138
74	427	28050
75	431	27970
76	436	27888
77	441	27866
78	445	27768
79	449	27652
80	454	27591
81	458	27510
82	463	27429
83	467	27358
84	472	27327
85	476	27244
86	480	27162
87	485	27085
88	489	27020
89	493	26939
90	497	26846
91	501	26763
92	506	26725
93	510	26667
94	514	26581
95	519	26522
96	523	26449
97	527	26388
98	532	26341
99	536	26302
100	540	26219
101	544	26169
102	549	26105
103	553	26065
104	558	26016
105	562	25970
106	566	25926
107	571	25868
108	575	25808
109	579	25763
110	593	26122
111	597	26073
112	601	26021
113	605	25952
114	609	25895
115	613	25847
116	618	25792
117	621	25730
118	626	25677
119	629	25613
120	634	25587
121	638	25544
122	642	25489
123	647	25442
124	651	25402
125	655	25357
126	659	25313
127	663	25267
128	668	25243
129	673	25215
130	677	25189
131	682	25157
132	686	25123
133	690	25069
134	694	25016
135	698	24973
136	702	24936
137	706	24885
138	710	24852
139	715	24820
140	718	24776
141	723	24736
142	727	24699
143	731	24663
144	735	24624
145	739	24580
146	743	24550
147	747	24520
148	752	24484
149	756	24445
150	759	24405
151	764	24389
152	768	24354
153	772	24315
154	776	24278
155	780	24248
156	784	24206
157	788	24173
158	792	24140
159	797	24112
160	800	24073
161	805	24043
162	809	24014
163	813	23994
164	817	23962
165	821	23930
166	825	23897
167	830	23888
168	834	23860
169	838	23830
170	842	23798
171	846	23768
172	851	23746
173	855	23720
174	859	23695
175	863	23674
176	867	23648
177	871	23614
178	875	23579
179	879	23553
180	883	23521
181	887	23492
182	891	23462
183	896	23453
184	900	23436
185	904	23407
186	908	23384
187	912	23367
188	917	23344
189	921	23319
190	925	23300
191	930	23304
192	934	23280
193	938	23260
194	943	23244
195	947	23225
196	951	23202
197	955	23170
198	960	23163
199	964	23139
200	967	23099
201	971	23078
202	975	23056
203	979	23035
204	983	23006
205	987	22980
206	992	22969
207	995	22941
208	999	22911
209	1003	22896
210	1008	22879
211	1012	22856
212	1016	22843
213	1020	22826
214	1025	22816
215	1029	22794
216	1033	22773
217	1037	22763
218	1042	22753
219	1046	22734
220	1050	22721
221	1054	22703
222	1059	22687
223	1063	22669
224	1067	22654
225	1071	22635
226	1076	22629
227	1080	22605
228	1083	22581
229	1088	22564
230	1091	22544
231	1096	22528
232	1100	22508
233	1104	22493
234	1108	22478
235	1112	22464
236	1116	22443
237	1121	22429
238	1124	22409
239	1131	22435
240	1136	22444
241	1142	22457
242	1148	22491
243	1154	22503
244	1160	22521
245	1165	22532
246	1170	22529
247	1175	22528
248	1181	22543
249	1185	22531
250	1190	22531
251	1196	22539
252	1200	22533
253	1206	22552
254	1213	22577
255	1218	22581
256	1224	22602
257	1231	22640
258	1238	22666
259	1244	22679
260	1249	22681
261	1254	22692
262	1261	22719
263	1267	22736
264	1272	22745
265	1279	22763
266	1285	22785
267	1291	22797
268	1297	22823
269	1304	22845
270	1310	22867
271	1316	22891
272	1323	22913
273	1330	22940
274	1335	22945
275	1341	22960
276	1346	22966
277	1352	22980
278	1358	22990
279	1363	22980
280	1368	22977
281	1373	22977
282	1377	22959
283	1382	22957
284	1386	22943
285	1391	22940
286	1395	22923
287	1400	22910
288	1404	22895
289	1408	22882
290	1412	22863
291	1417	22856
292	1422	22844
293	1425	22821
294	1429	22799
295	1433	22778
296	1437	22757
297	1440	22735
298	1444	22717
299	1448	22696
300	1452	22678
301	1456	22659
302	1460	22645
303	1464	22626
304	1468	22609
305	1473	22600
306	1477	22581
307	1481	22564
308	1485	22551
309	1489	22538
310	1494	22528
311	1504	22612
312	1510	22625
313	1516	22634
314	1524	22673
315	1530	22683
316	1537	22708
317	1543	22720
318	1548	22726
319	1554	22739
320	1558	22722
321	1563	22709
322	1568	22712
323	1574	22719
324	1580	22731
325	1584	22720
326	1588	22702
327	1592	22684
328	1596	22663
329	1600	22649
330	1604	22632
331	1608	22616
332	1612	22595
333	1616	22587
334	1621	22580
335	1625	22559
336	1629	22545
337	1633	22535
338	1637	22520
339	1641	22503
340	1644	22462
341	1648	22448
342	1652	22431
343	1656	22418
344	1660	22405
345	1664	22391
346	1668	22372
347	1672	22356
348	1676	22343
349	1680	22329
350	1684	22314
351	1688	22300
352	1692	22281
353	1696	22264
354	1700	22251
355	1704	22241
356	1709	22229
357	1713	22214
358	1717	22200
359	1720	22181
360	1725	22168
361	1729	22155
362	1732	22135
363	1736	22119
364	1740	22106
365	1745	22095
366	1749	22080
367	1753	22067
368	1757	22055
369	1761	22044
370	1765	22031
371	1769	22015
372	1773	22004
373	1778	21997
374	1782	21983
375	1786	21969
376	1790	21955
377	1795	21952
378	1799	21938
379	1803	21927
380	1807	21914
381	1811	21904
382	1815	21888
383	1819	21876
384	1823	21860
385	1828	21861
386	1833	21852
387	1836	21834
388	1840	21821
389	1844	21807
390	1848	21790
391	1852	21773
392	1856	21760
393	1860	21750
394	1864	21739
395	1868	21727
396	1872	21716
397	1877	21704
398	1880	21687
399	1884	21676
400	1889	21665
401	1893	21654
402	1898	21651
403	1901	21636
404	1905	21623
405	1909	21610
406	1913	21597
407	1917	21583
408	1921	21569
409	1926	21563
410	1930	21550
411	1934	21539
412	1938	21528
413	1942	21518
414	1946	21504
415	1950	21492
416	1954	21475
417	1958	21466
418	1962	21457
419	1967	21450
420	1971	21445
421	1976	21437
422	1980	21426
423	1984	21421
424	1989	21411
425	1993	21401
426	1997	21394
427	2001	21381
428	2006	21375
429	2010	21363
430	2014	21353
431	2017	21337
432	2022	21330
433	2026	21318
434	2030	21307
435	2034	21295
436	2038	21288
437	2042	21273
438	2046	21260
439	2050	21246
440	2054	21237
441	2058	21224
442	2062	21214
443	2066	21205
444	2070	21197
445	2074	21182
446	2078	21171
447	2082	21158
448	2086	21151
449	2091	21144
450	2095	21134
451	2099	21123
452	2104	21121
453	2108	21112
454	2112	21104
455	2116	21090
456	2120	21081
457	2124	21070
458	2128	21058
459	2132	21046
460	2137	21042
461	2141	21031
462	2145	21022
463	2149	21013
464	2153	21005
465	2157	20995
466	2161	20985
467	2166	20976
468	2170	20965
469	2174	20954
470	2177	20941
471	2182	20933
472	2186	20924
473	2190	20915
474	2194	20902
475	2198	20892
476	2202	20883
477	2205	20864
478	2209	20853
479	2213	20845
480	2218	20840
481	2222	20830
482	2226	20819
483	2230	20808
484	2234	20802
485	2238	20794
486	2242	20784
487	2247	20777
488	2252	20775
489	2256	20765
490	2260	20755
491	2264	20748
492	2269	20745
493	2273	20734
494	2277	20723
495	2281	20718
496	2285	20710
497	2289	20701
498	2294	20693
499	2298	20685
500	2302	20676
501	2306	20666
502	2310	20657
503	2315	20654
504	2319	20648
505	2323	20636
